,Timestamp,Class,Origin,Exit
0,13-02-2022 14:12:33,car,TB_Nemocnice,TB_Malenovice
1,13-02-2022 14:12:38,car,TB_Nemocnice,TB_Malenovice
2,13-02-2022 14:12:41,car,TB_Nemocnice,TB_Malenovice
3,13-02-2022 14:12:42,car,TB_Nemocnice,TB_Malenovice
4,13-02-2022 14:12:46,car,TB_Nemocnice,TB_Malenovice
5,13-02-2022 14:12:48,car,TB_Nemocnice,Dlouha
6,13-02-2022 14:12:54,car,TB_Nemocnice,TB_Malenovice
7,13-02-2022 14:12:58,car,TB_Nemocnice,TB_Malenovice
8,13-02-2022 14:13:08,car,TB_Nemocnice,Dlouha
9,13-02-2022 14:13:13,car,TB_Nemocnice,Dlouha
10,13-02-2022 14:13:36,car,Osvoboditelu,TB_Malenovice
11,13-02-2022 14:14:21,car,Dlouha,TB_Malenovice
12,13-02-2022 14:14:25,car,Dlouha,TB_Malenovice
13,13-02-2022 14:14:42,car,Osvoboditelu,Dlouha
14,13-02-2022 14:14:42,car,Osvoboditelu,TB_Malenovice
15,13-02-2022 14:14:51,car,Osvoboditelu,Dlouha
16,13-02-2022 14:14:52,car,Osvoboditelu,TB_Nemocnice
17,13-02-2022 14:15:14,car,TB_Nemocnice,TB_Malenovice
18,13-02-2022 14:15:17,car,TB_Nemocnice,Dlouha
19,13-02-2022 14:15:19,car,TB_Nemocnice,Dlouha
20,13-02-2022 14:15:37,car,Dlouha,TB_Malenovice
21,13-02-2022 14:15:39,car,Dlouha,TB_Malenovice
22,13-02-2022 14:15:47,car,Dlouha,TB_Malenovice
23,13-02-2022 14:15:48,car,Dlouha,TB_Malenovice
24,13-02-2022 14:16:03,car,Osvoboditelu,TB_Malenovice
25,13-02-2022 14:16:04,car,Osvoboditelu,Dlouha
26,13-02-2022 14:16:22,car,TB_Nemocnice,TB_Malenovice
27,13-02-2022 14:16:25,car,TB_Nemocnice,TB_Malenovice
28,13-02-2022 14:16:30,car,TB_Nemocnice,Dlouha
29,13-02-2022 14:16:49,car,Dlouha,TB_Nemocnice
30,13-02-2022 14:16:58,car,Osvoboditelu,TB_Malenovice
31,13-02-2022 14:17:00,truck,Osvoboditelu,Dlouha
32,13-02-2022 14:17:09,car,Osvoboditelu,TB_Nemocnice
33,13-02-2022 14:17:26,car,TB_Nemocnice,TB_Malenovice
34,13-02-2022 14:17:54,car,Dlouha,TB_Malenovice
35,13-02-2022 14:18:05,car,Dlouha,TB_Malenovice
36,13-02-2022 14:18:17,car,Osvoboditelu,TB_Malenovice
